iter	Passed	Remaining
0	3	328
1	5	285
2	8	266
3	10	244
4	12	242
5	16	251
6	18	246
7	21	244
8	23	240
9	26	235
10	28	233
11	31	232
12	34	228
13	36	224
14	38	220
15	41	216
16	44	215
17	46	213
18	49	209
19	51	206
20	53	202
21	56	199
22	59	200
23	62	197
24	64	194
25	67	191
26	69	188
27	72	186
28	74	183
29	77	180
30	79	177
31	82	174
32	84	171
33	87	169
34	90	168
35	93	166
36	96	163
37	98	160
38	101	158
39	103	155
40	106	152
41	107	147
42	109	145
43	111	142
44	114	139
45	116	136
46	119	134
47	121	131
48	124	129
49	126	126
50	130	125
51	133	123
52	136	121
53	139	118
54	140	115
55	143	112
56	145	110
57	148	107
58	150	104
59	153	102
60	156	99
61	158	97
62	161	94
63	163	92
64	166	89
65	168	86
66	170	84
67	173	81
68	175	79
69	178	76
70	180	73
71	183	71
72	185	68
73	188	66
74	190	63
75	192	60
76	195	58
77	197	55
78	200	53
79	203	50
80	206	48
81	208	45
82	211	43
83	214	40
84	216	38
85	219	35
86	221	33
87	224	30
88	226	28
89	229	25
90	231	22
91	234	20
92	236	17
93	239	15
94	241	12
95	244	10
96	247	7
97	249	5
98	252	2
99	254	0
