iter	Passed	Remaining
0	157	157143
1	162	81265
2	166	55288
3	169	42108
4	175	34909
5	178	29588
6	181	25770
7	186	23119
8	190	20975
9	193	19174
10	196	17707
11	204	16839
12	208	15794
13	211	14893
14	217	14305
15	221	13627
16	224	12992
17	233	12747
18	236	12216
19	240	11763
20	243	11363
21	248	11041
22	252	10738
23	255	10403
24	263	10264
25	266	9974
26	269	9705
27	276	9595
28	279	9374
29	283	9152
30	290	9078
31	293	8876
32	296	8691
33	300	8528
34	306	8456
35	310	8301
36	313	8172
37	321	8130
38	324	7991
39	327	7871
40	334	7816
41	337	7703
42	341	7591
43	345	7511
44	349	7422
45	352	7307
46	357	7241
47	364	7221
48	366	7122
49	370	7039
50	373	6944
51	379	6909
52	382	6833
53	386	6778
54	397	6834
55	403	6799
56	407	6739
57	415	6748
58	420	6710
59	424	6648
60	432	6653
61	435	6585
62	445	6625
63	449	6577
64	456	6571
65	461	6524
66	464	6469
67	471	6464
68	476	6431
69	479	6375
70	483	6328
71	491	6333
72	495	6286
73	498	6236
74	505	6236
75	522	6357
76	526	6306
77	529	6261
78	536	6258
79	540	6217
80	544	6177
81	552	6182
82	553	6120
83	559	6102
84	567	6111
85	573	6098
86	580	6092
87	584	6058
88	587	6015
89	593	5999
90	597	5966
91	600	5924
92	605	5908
93	613	5908
94	615	5867
95	621	5855
96	625	5820
97	629	5795
98	640	5829
99	645	5805
100	648	5770
101	658	5797
102	662	5772
103	670	5776
104	673	5739
105	677	5712
106	684	5713
107	687	5680
108	692	5659
109	698	5649
110	701	5619
111	706	5598
112	709	5566
113	716	5566
114	720	5548
115	724	5522
116	730	5516
117	734	5489
118	738	5467
119	746	5474
120	749	5448
121	753	5419
122	762	5439
123	768	5428
124	774	5420
125	779	5405
126	781	5372
127	784	5343
128	790	5334
129	793	5311
130	796	5281
131	799	5256
132	802	5232
133	815	5267
134	823	5278
135	827	5258
136	830	5234
137	838	5240
138	842	5216
139	845	5191
140	850	5179
141	853	5157
142	856	5132
143	859	5108
144	864	5100
145	868	5081
146	871	5055
147	873	5031
148	876	5007
149	883	5007
150	886	4983
151	889	4962
152	891	4937
153	898	4935
154	901	4913
155	903	4890
156	906	4869
157	913	4869
158	919	4862
159	930	4884
160	932	4858
161	936	4846
162	946	4858
163	949	4842
164	958	4852
165	961	4833
166	965	4816
167	968	4796
168	973	4789
169	977	4771
170	981	4757
171	988	4756
172	992	4746
173	1001	4754
174	1005	4741
175	1009	4727
176	1016	4725
177	1022	4723
178	1027	4711
179	1036	4723
180	1040	4709
181	1051	4725
182	1056	4717
183	1064	4718
184	1069	4710
185	1073	4698
186	1079	4691
187	1084	4682
188	1087	4666
189	1093	4660
190	1096	4645
191	1099	4628
192	1109	4639
193	1112	4623
194	1116	4610
195	1125	4615
196	1129	4604
197	1132	4587
198	1135	4572
199	1139	4558
200	1143	4544
201	1147	4533
202	1151	4521
203	1155	4507
204	1160	4499
205	1164	4489
206	1171	4487
207	1177	4484
208	1189	4501
209	1195	4495
210	1206	4510
211	1210	4501
212	1219	4506
213	1223	4495
214	1228	4484
215	1235	4482
216	1238	4469
217	1244	4462
218	1250	4459
219	1253	4445
220	1258	4437
221	1265	4436
222	1269	4422
223	1273	4410
224	1280	4409
225	1284	4397
226	1288	4388
227	1300	4404
228	1304	4391
229	1309	4383
230	1313	4371
231	1316	4356
232	1319	4344
233	1324	4335
234	1328	4326
235	1332	4314
236	1335	4298
237	1340	4293
238	1343	4278
239	1347	4265
240	1349	4250
241	1354	4243
242	1358	4231
243	1361	4217
244	1364	4203
245	1367	4190
246	1372	4183
247	1374	4169
248	1377	4156
249	1381	4144
250	1389	4146
251	1392	4134
252	1396	4121
253	1404	4126
254	1407	4113
255	1410	4100
256	1418	4100
257	1421	4089
258	1424	4075
259	1427	4062
260	1433	4060
261	1436	4046
262	1439	4033
263	1442	4022
264	1448	4016
265	1450	4003
266	1453	3989
267	1456	3977
268	1463	3976
269	1466	3964
270	1470	3955
271	1473	3942
272	1479	3940
273	1483	3930
274	1486	3918
275	1493	3916
276	1497	3907
277	1499	3895
278	1503	3884
279	1509	3880
280	1512	3868
281	1515	3858
282	1518	3847
283	1524	3844
284	1527	3832
285	1531	3824
286	1534	3811
287	1539	3807
288	1542	3795
289	1545	3784
290	1551	3779
291	1554	3769
292	1558	3760
293	1561	3750
294	1574	3763
295	1579	3756
296	1586	3754
297	1589	3744
298	1592	3734
299	1597	3726
300	1600	3717
301	1603	3707
302	1606	3695
303	1609	3684
304	1614	3678
305	1617	3667
306	1620	3656
307	1623	3647
308	1628	3640
309	1630	3630
310	1633	3618
311	1636	3608
312	1642	3604
313	1645	3593
314	1648	3584
315	1651	3573
316	1660	3577
317	1663	3568
318	1667	3559
319	1673	3556
320	1677	3549
321	1680	3538
322	1688	3538
323	1691	3529
324	1694	3519
325	1697	3509
326	1705	3510
327	1708	3499
328	1711	3490
329	1716	3485
330	1720	3477
331	1723	3467
332	1725	3456
333	1728	3446
334	1735	3444
335	1738	3435
336	1741	3425
337	1744	3416
338	1747	3408
339	1750	3398
340	1753	3389
341	1759	3385
342	1763	3378
343	1767	3369
344	1774	3368
345	1778	3361
346	1781	3352
347	1786	3346
348	1794	3347
349	1797	3338
350	1800	3329
351	1807	3327
352	1811	3320
353	1815	3312
354	1821	3310
355	1825	3303
356	1829	3294
357	1834	3290
358	1838	3282
359	1841	3273
360	1845	3265
361	1847	3256
362	1853	3252
363	1856	3244
364	1859	3235
365	1866	3233
366	1870	3225
367	1873	3216
368	1875	3207
369	1882	3205
370	1886	3198
371	1889	3189
372	1892	3181
373	1896	3174
374	1899	3166
375	1902	3157
376	1906	3151
377	1910	3144
378	1913	3135
379	1916	3127
380	1919	3118
381	1926	3116
382	1929	3107
383	1931	3098
384	1934	3089
385	1947	3097
386	1955	3097
387	1960	3092
388	1963	3084
389	1969	3080
390	1973	3074
391	1976	3065
392	1979	3057
393	1982	3049
394	1985	3041
395	1988	3032
396	1990	3023
397	1994	3016
398	1997	3008
399	2000	3000
400	2003	2992
401	2008	2988
402	2012	2981
403	2015	2973
404	2018	2965
405	2023	2959
406	2027	2953
407	2029	2945
408	2032	2936
409	2035	2928
410	2041	2925
411	2044	2917
412	2048	2910
413	2057	2911
414	2059	2903
415	2062	2895
416	2065	2887
417	2071	2884
418	2075	2878
419	2079	2871
420	2086	2869
421	2089	2862
422	2093	2855
423	2096	2848
424	2103	2845
425	2105	2837
426	2109	2831
427	2113	2823
